Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_5_69,VGND,li1,38.1800,27.2000,0.000163
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000135
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000104
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000104
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000071
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000071
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000071
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000071
FILLER_4_130,VGND,li1,65.5500,21.7600,0.000099
FILLER_4_101,VGND,li1,52.2100,21.7600,0.000084
FILLER_4_97,VGND,li1,51.0600,21.7600,0.000084
FILLER_4_85,VGND,li1,47.3800,21.7600,0.000079
FILLER_4_53,VGND,li1,30.5900,21.7600,0.000042
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000034
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000029
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000029
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000029
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000029
FILLER_3_103,VGND,li1,53.1300,21.7600,0.000087
FILLER_3_97,VGND,li1,51.5200,21.7600,0.000084
FILLER_3_75,VGND,li1,40.2500,21.7600,0.000066
FILLER_3_57,VGND,li1,32.4300,21.7600,0.000049
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000042
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000042
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000029
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000029
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000029
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000029
FILLER_2_138,VGND,li1,69.4600,16.3200,0.000162
FILLER_2_94,VGND,li1,49.6800,16.3200,0.000132
FILLER_2_41,VGND,li1,25.0700,16.3200,0.000045
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000045
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000045
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000045
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000045
FILLER_1_146,VGND,li1,72.9100,16.3200,0.000162
FILLER_1_125,VGND,li1,63.2500,16.3200,0.000156
FILLER_1_102,VGND,li1,52.6700,16.3200,0.000139
FILLER_1_69,VGND,li1,37.7200,16.3200,0.000097
FILLER_1_57,VGND,li1,32.4300,16.3200,0.000077
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000067
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000067
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000045
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000045
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000045
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000045
FILLER_0_118,VGND,li1,60.2600,10.8800,0.000050
FILLER_0_113,VGND,li1,57.9600,10.8800,0.000048
FILLER_0_111,VGND,li1,56.8100,10.8800,0.000048
FILLER_0_107,VGND,li1,54.9700,10.8800,0.000046
FILLER_0_103,VGND,li1,53.8200,10.8800,0.000044
FILLER_0_93,VGND,li1,48.5300,10.8800,0.000041
FILLER_0_83,VGND,li1,43.9300,10.8800,0.000036
FILLER_0_72,VGND,li1,39.1000,10.8800,0.000030
FILLER_0_57,VGND,li1,31.9700,10.8800,0.000020
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000020
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000015
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000013
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000013
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000013
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000013
hold32,VGND,li1,22.0800,43.5200,0.000147
hold31,VGND,li1,39.5600,32.6400,0.000348
hold30,VGND,li1,59.3400,32.6400,0.000428
hold29,VGND,li1,23.4600,70.7200,0.000130
hold28,VGND,li1,55.2000,21.7600,0.000090
hold27,VGND,li1,46.0000,32.6400,0.000379
hold26,VGND,li1,63.9400,43.5200,0.000342
hold25,VGND,li1,61.6400,43.5200,0.000336
hold24,VGND,li1,42.3200,38.0800,0.000249
hold23,VGND,li1,42.7800,54.4000,0.000177
hold22,VGND,li1,50.1400,76.1600,0.000210
hold21,VGND,li1,53.8200,76.1600,0.000218
hold20,VGND,li1,55.6600,59.8400,0.000411
hold19,VGND,li1,34.5000,76.1600,0.000162
